area_scaling_factor,tRCD,tCL,tRAS,tRP,tRC,tRL,tRTP,tCCD,tWR
0.25,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001
0.36,0.39703130811264437,0.9516951718039799,0.5952373658154013,0.7532807084646913,0.6529426180723313,0.9516951718039799,0.9499348875213849,0.9545807595068679,0.7394806343288042
0.49,0.5020226776399234,0.9634188305960707,0.6669893632665066,0.985149047563747,0.783157698187632,0.9634188305960707,0.9623317927635778,0.9658247973518909,0.7416277281834949
0.64,0.6228855341833475,0.9753787920036066,0.7489706386941818,1.2524704531143955,0.9328074004053417,0.9753787920036066,0.9748078543523223,0.9771470273933328,0.7437887642060732
0.81,0.7596179704561276,0.9875717891701532,0.8411720013724818,1.55524279426759,1.1018917247254607,0.9875717891701532,0.9873630722876184,0.9885370240050043,0.7459617506582695
1.00,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231
1.21,1.0806973040501235,1.0126634244931472,1.0562533699328467,2.26712749828733,1.4983642396729258,1.0126634244931472,1.0127135306283992,1.0115359553783199,0.7503535335428642
1.44,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233
1.69,1.465254002918149,1.0386926476129081,1.3122273417969708,3.1208308606605843,1.9725791330664768,1.0386926476129081,1.0383831677859205,1.0348268042849325,0.7547990933607397
1.96,1.6813400596980765,1.0520595351916666,1.4555536493309154,3.600847225581269,2.238836567898641,1.0520595351916666,1.0513367208845084,1.0465816978132247,0.757041790652374
2.25,1.9133042789979113,1.0656605474815806,1.6091000441154848,4.116320918651641,2.5245325148696645,1.0656605474815806,1.0643694303296478,1.0584095707248418,0.7592984301118959
2.56,2.161127587949762,1.0794967734347947,1.7728787804519388,4.667251939871702,2.829663083943096,1.0794967734347947,1.077483849551873,1.0703052102066881,0.7615710034775751
2.89,2.4248290594215196,1.0935693020034543,1.9468776040390179,5.253629634996212,3.1542282751189377,1.0935693020034543,1.0906748716901158,1.0822738290718585,0.7638555272728721
3.24,2.704399156979239,1.10786724366611,2.131096514876722,5.8754540040251735,3.498228088397188,1.10786724366611,1.1039476036054439,1.094320640133448,0.7661539932360568
3.61,2.99983788062292,1.1224156443220945,2.3255477672663107,6.532735701203824,3.8616625237778477,1.1224156443220945,1.1172994918673238,1.106435217765267,0.7684664013671292
4.00,3.3111452303525617,1.1371818354070613,2.5302191069065243,7.225464072286924,4.2445354712973655,1.1371818354070613,1.130733089906289,1.1186175619673158,0.7707927516660891
